Title,Year,Bond actor,Box office,Budget,Salary of Bond actor
Dr. No,1962,Sean Connery,59.5,7,0.6
From Russia with Love,1963,Sean Connery,78.9,12.6,1.6
Goldfinger,1964,Sean Connery,124.9,18.6,3.2
Thunderball,1965,Sean Connery,141.2,41.9,4.7
Casino Royale,1967,David Niven,44.4,70,n/a
You Only Live Twice,1967,Sean Connery,101,59.9,4.4
On Her Majesty's Secret Service,1969,George Lazenby,64.6,37.3,0.6
Diamonds Are Forever,1971,Sean Connery,116,34.7,5.8
Live and Let Die,1973,Roger Moore,126.4,30.8,0.7
The Man with the Golden Gun,1974,Roger Moore,98.5,27.7,0.8
The Spy Who Loved Me,1977,Roger Moore,185.4,45.1,0.9
Moonraker,1979,Roger Moore,210.3,91.5,n/a
For Your Eyes Only,1981,Roger Moore,194.9,60.2,n/a
Octopussy,1983,Roger Moore,183.7,53.9,7.8
Never Say Never Again,1983,Sean Connery,160,71,n/a
A View to a Kill,1985,Roger Moore,152.4,54.5,9.1
The Living Daylights,1987,Timothy Dalton,191.2,68.8,5.2
Licence to Kill,1989,Timothy Dalton,156.2,56.7,7.9
GoldenEye,1995,Pierce Brosnan,351.9,76.9,5.1
Tomorrow Never Dies,1997,Pierce Brosnan,338.9,133.9,10
The World Is Not Enough,1999,Pierce Brosnan,361.8,158.3,13.5
Die Another Day,2002,Pierce Brosnan,431.9,154.2,17.9
Casino Royale,2006,Daniel Craig,594.2,145.3,3.3
Quantum of Solace,2008,Daniel Craig,576,181.4,8.1
Skyfall,2012,Daniel Craig,1108.6,149,14.5
Spectre,2015,Daniel Craig,880.7,203.9,n/a
